,year,homeruns,temperature,density
0,1962,1.8219852337981952,24.859664594602602,1.2044858969415455
1,1963,1.6544293695131684,25.085972824355878,1.203536650830865
2,1964,1.6788617886178863,25.701886894836708,1.200152036220387
3,1965,1.629331184528606,25.22839337338771,1.2014008263118467
4,1966,1.7034099920697858,25.360435214168294,1.2009026252855093
5,1967,1.3849270664505673,24.20703242864113,1.2058102380847004
6,1968,1.2261268143621085,24.98505832630975,1.2017929367965206
7,1969,1.6010037641154329,24.59080892855459,1.2013862142783676
8,1970,1.7469362745098038,25.42881466264936,1.199327565361907
9,1971,1.4593094944512948,24.732758723991868,1.2020044164213417
10,1972,1.3692106979778214,24.929761905761904,1.2008372659713757
11,1973,1.5758683729433272,24.725205334494806,1.1999601470094283
12,1974,1.3513513513513513,24.47454299344291,1.2029200842545
13,1975,1.405109489051095,24.669543285293983,1.2015805436942462
14,1976,1.1593240796620399,25.290695642580097,1.200706238741857
15,1977,1.7559098405717428,25.2726404501036,1.2001582448705796
16,1978,1.4212555066079295,24.90620952151324,1.2015415534752798
17,1979,1.6427423674343866,24.498339219779663,1.203176299925532
18,1980,1.4698479286837964,25.601728500491777,1.197831872608518
19,1981,1.2707692307692309,23.046441196977604,1.2079595254999949
20,1982,1.5972293483837865,24.317947365005693,1.2032269198495016
21,1983,1.5736595523165018,25.217226470327468,1.1991362576532796
22,1984,1.5391705069124424,24.946607251758675,1.2003725872910813
23,1985,1.7045568352528793,24.90573943198645,1.200892253317594
24,1986,1.827775012444002,24.669372880489718,1.2012047914766928
25,1987,2.121628249141736,25.3469054000214,1.1985755307315666
26,1988,1.510406342913776,25.159832065000867,1.200247038067497
27,1989,1.4602385685884691,24.212154546418663,1.203000017482277
28,1990,1.5702930948832587,24.889499336367283,1.2002095108075135
29,1991,1.604594330400782,25.32592943672581,1.1988639132383083
30,1992,1.4454277286135693,23.801771878585576,1.2056506718235616
31,1993,1.7751693002257336,24.758400659332107,1.2002429627366777
32,1994,2.0724358974358976,24.61695890932363,1.2019089619544596
33,1995,2.0273141122913505,25.99633001280758,1.1944323618367907
34,1996,2.1866422689844467,24.424514483595907,1.2011612888328638
35,1997,2.0629885057471262,24.34376824944181,1.2012841310701023
36,1998,2.076694915254237,25.788219879939092,1.1934902958351314
37,1999,2.2642706131078225,25.618786442284122,1.1971535503290662
38,2000,2.3544037083860094,25.230157382520094,1.1987480975062412
39,2001,2.253568429890848,25.385563833711142,1.198583443224501
40,2002,2.07905803195963,25.567054402230497,1.198877102729401
41,2003,2.1363636363636362,24.987698340974443,1.1992853753236572
42,2004,2.262344353799914,25.42082509680782,1.19845473695384
43,2005,2.068475991649269,26.184576125103508,1.194929809976881
44,2006,2.219890893831305,26.07534859520506,1.1949973271647996
45,2007,2.028942953020134,25.981156229043886,1.1970304049520635
46,2008,2.0143399409531844,25.551567112893274,1.1983344826376874
47,2009,2.078020134228188,25.307979828835737,1.1983189156588745
48,2010,1.90513999164229,26.494232843385284,1.193173553920872
49,2011,1.8703939008894537,25.919829637029572,1.1947628821223077
50,2012,2.0330820770519265,26.80015776746869,1.193511726713474
51,2013,1.9239176124422026,25.68153229802338,1.1979231550800284
52,2014,1.7263912310286678,25.68355064063618,1.1981977673430169
53,2015,2.017714044706875,26.24683332003369,1.194448484530993
54,2016,2.3126302626094204,26.41603769870922,1.1948540347905932
55,2017,2.5111767186840996,26.11445266650999,1.1948650588877028
56,2018,2.296139159949088,26.01321838092619,1.1961637739157123
57,2019,2.7826825127334467,25.91165507666038,1.195916182015394
