,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,19580414,1958,4,14,0,BOS,WS1,AL,AL,WAS09,38.917576000000004,-77.020191,100.0,3,2,1,1,29,28,0.10714285714285714,0.06896551724137931,5,8,1,0,0,0,1,4,4,4,0,0,2,5,31,33
1,19580415,1958,4,15,0,WS1,BAL,AL,AL,BAL11,39.330001,-76.601488,231.0,0,0,0,1,23,27,0.0,0.0,5,12,1,1,0,1,6,4,3,4,1,0,1,6,29,31
2,19580415,1958,4,15,0,NYA,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,1,1,0,26,26,0.0,0.038461538461538464,5,4,3,0,0,0,4,2,3,3,0,0,3,0,31,28
3,19580415,1958,4,15,0,DET,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,1,1,2,1,28,30,0.03333333333333333,0.03571428571428571,14,7,3,1,0,0,6,3,1,2,0,0,4,3,36,34
4,19580415,1958,4,15,0,KC1,CLE,AL,AL,CLE07,41.506091,-81.699404,593.0,0,1,0,0,23,30,0.0,0.043478260869565216,11,7,1,0,0,0,9,2,6,3,0,1,5,0,32,32
5,19580415,1958,4,15,0,PHI,CIN,NL,NL,CIN07,39.116854,-84.535505,488.0,0,0,0,0,32,29,0.0,0.0,13,8,5,3,0,0,4,6,4,3,0,0,5,4,36,34
6,19580415,1958,4,15,0,PIT,MLN,NL,NL,MIL05,43.0299,-87.974365,606.0,0,0,0,2,51,42,0.0,0.0,16,12,3,0,0,0,6,6,1,4,0,0,4,3,57,50
7,19580415,1958,4,15,0,LAN,SFN,NL,NL,SFO01,37.766774,-122.40933700000001,61.0,1,0,0,2,26,30,0.03333333333333333,0.0,6,11,0,0,0,0,6,2,6,7,0,0,0,8,32,33
8,19580415,1958,4,15,1,CHN,SLN,NL,NL,STL07,38.657718,-90.220344,492.0,0,0,1,0,27,27,0.0,0.0,10,7,1,1,0,0,4,6,3,8,0,0,4,0,31,33
9,19580416,1958,4,16,0,NYA,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,0,0,1,26,27,0.0,0.0,7,10,2,1,0,0,8,3,2,2,0,0,1,3,34,31
10,19580416,1958,4,16,0,DET,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,1,0,2,2,32,30,0.03333333333333333,0.0,13,10,0,0,0,0,4,2,0,4,0,0,5,4,37,34
11,19580416,1958,4,16,0,KC1,CLE,AL,AL,CLE07,41.506091,-81.699404,593.0,0,1,1,0,34,27,0.0,0.029411764705882353,14,9,2,1,0,0,3,7,4,5,0,0,9,4,37,34
12,19580416,1958,4,16,1,LAN,SFN,NL,NL,SFO01,37.766774,-122.40933700000001,61.0,0,3,2,0,35,18,0.0,0.08571428571428572,15,5,2,0,0,0,4,11,9,4,0,1,13,1,39,29
13,19580417,1958,4,17,1,WS1,BAL,AL,AL,BAL11,39.330001,-76.601488,231.0,1,0,0,2,24,28,0.03571428571428571,0.0,3,10,0,3,0,0,5,3,9,5,0,1,0,4,29,33
14,19580417,1958,4,17,0,NYA,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,1,1,1,26,26,0.0,0.038461538461538464,8,7,2,0,0,0,6,5,3,2,0,1,3,1,33,32
15,19580417,1958,4,17,0,DET,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,0,0,1,0,31,31,0.0,0.0,11,9,3,1,0,0,4,0,4,3,0,0,3,4,36,31
16,19580417,1958,4,17,0,KC1,CLE,AL,AL,CLE07,41.506091,-81.699404,593.0,0,1,1,0,30,30,0.0,0.03333333333333333,8,9,1,2,0,0,5,3,3,3,0,0,2,3,36,33
17,19580417,1958,4,17,0,PIT,MLN,NL,NL,MIL05,43.0299,-87.974365,606.0,0,1,0,2,31,33,0.0,0.03225806451612903,7,13,0,1,1,0,1,0,0,1,0,0,1,6,31,35
18,19580417,1958,4,17,0,LAN,SFN,NL,NL,SFO01,37.766774,-122.40933700000001,61.0,1,0,1,1,31,27,0.037037037037037035,0.0,8,10,2,2,1,0,3,5,7,5,0,0,4,7,34,32
19,19580417,1958,4,17,1,CHN,SLN,NL,NL,STL07,38.657718,-90.220344,492.0,0,1,1,1,28,25,0.0,0.03571428571428571,9,6,1,0,0,0,6,5,3,7,0,0,4,3,34,31
20,19580418,1958,4,18,0,CLE,DET,AL,AL,DET04,42.332541,-83.068732,601.0,4,2,1,1,34,22,0.18181818181818182,0.058823529411764705,16,5,0,0,0,1,6,7,3,8,1,0,7,5,40,30
21,19580418,1958,4,18,0,CHA,KC1,AL,AL,KAN05,39.086109,-94.557535,916.0,1,1,4,2,29,35,0.02857142857142857,0.034482758620689655,14,11,4,2,0,0,6,1,4,3,0,0,11,7,38,36
