,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,19900409,1990,4,9,0,DET,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,2,2,0,0,28,30,0.06666666666666667,0.07142857142857142,5,8,1,4,0,0,6,3,4,4,0,0,2,5,33,33
1,19900409,1990,4,9,1,SEA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,3,0,1,1,37,25,0.12,0.0,15,5,2,0,0,0,2,6,1,5,0,0,7,4,40,31
2,19900409,1990,4,9,0,MIL,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,0,0,0,0,22,29,0.0,0.0,4,6,1,1,0,1,8,1,1,2,2,1,1,2,30,29
3,19900409,1990,4,9,0,BAL,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,2,1,2,2,35,39,0.05128205128205128,0.02857142857142857,14,10,1,1,0,0,8,3,2,4,0,1,7,6,45,44
4,19900409,1990,4,9,1,MIN,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,1,1,1,2,33,27,0.037037037037037035,0.030303030303030304,10,11,1,2,0,0,3,4,2,6,0,0,3,8,37,32
5,19900409,1990,4,9,1,TOR,TEX,AL,AL,ARL01,32.755974,-97.084778,552.0,0,0,0,2,22,21,0.0,0.0,3,7,2,1,0,1,6,7,5,6,0,1,2,4,28,30
6,19900409,1990,4,9,1,CIN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,0,1,1,0,39,27,0.0,0.02564102564102564,12,10,1,3,1,0,5,13,4,6,1,0,8,4,44,40
7,19900409,1990,4,9,0,SDN,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,1,0,1,1,24,25,0.04,0.0,7,4,1,0,0,0,8,1,1,2,0,0,2,4,33,27
8,19900409,1990,4,9,0,PIT,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,1,2,3,2,36,24,0.041666666666666664,0.05555555555555555,17,3,3,0,1,0,6,4,4,4,1,0,12,3,45,30
9,19900409,1990,4,9,1,MON,SLN,NL,NL,STL09,38.62393,-90.192326,460.0,1,2,0,0,39,31,0.03225806451612903,0.05128205128205128,8,12,2,3,0,1,3,8,5,7,0,0,5,6,41,38
10,19900410,1990,4,10,0,DET,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,0,0,0,27,28,0.0,0.0,7,10,1,2,0,0,7,3,1,8,2,0,2,4,34,31
11,19900410,1990,4,10,1,SEA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,2,0,0,3,26,28,0.07142857142857142,0.0,4,12,2,1,0,0,4,6,1,4,0,0,0,7,30,36
12,19900410,1990,4,10,0,CHA,MIL,AL,AL,MIL05,43.0299,-87.974365,606.0,2,2,0,0,23,31,0.06451612903225806,0.08695652173913043,5,8,1,1,0,0,8,2,9,4,0,1,5,3,30,32
13,19900410,1990,4,10,1,MIN,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,1,0,1,2,31,28,0.03571428571428571,0.0,11,10,2,2,0,0,3,4,3,3,0,0,3,5,34,34
14,19900410,1990,4,10,1,TEX,TOR,AL,AL,TOR02,43.641256,-79.389054,268.0,0,0,1,0,23,23,0.0,0.0,5,6,2,1,0,2,8,6,2,9,1,0,1,2,32,29
15,19900410,1990,4,10,0,PHI,CHN,NL,NL,CHI11,41.948314,-87.655397,599.0,0,2,0,0,29,27,0.0,0.06896551724137931,4,11,1,0,0,0,2,5,4,1,1,0,1,2,31,31
16,19900410,1990,4,10,1,CIN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,2,1,0,0,26,25,0.08,0.038461538461538464,10,8,1,3,0,0,6,11,8,2,1,0,3,2,32,35
