,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,19750407,1975,4,7,1,KCA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,1,1,0,16,23,0.0,0.0625,3,7,0,1,0,0,12,6,3,2,1,0,2,3,29,28
1,19750407,1975,4,7,0,LAN,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,0,1,0,0,42,39,0.0,0.023809523809523808,8,9,1,2,0,0,5,9,5,4,1,0,1,2,47,48
2,19750407,1975,4,7,1,ATL,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,2,0,0,1,24,28,0.07142857142857142,0.0,4,14,0,2,0,0,7,9,1,2,0,0,2,6,31,37
3,19750407,1975,4,7,1,MON,SLN,NL,NL,STL09,38.62393,-90.192326,460.0,4,1,1,1,24,32,0.125,0.041666666666666664,11,9,2,1,0,0,13,4,5,2,1,1,8,4,38,37
4,19750408,1975,4,8,0,MIL,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,0,1,0,28,25,0.0,0.0,8,7,3,2,0,0,4,6,2,3,0,0,2,5,33,31
5,19750408,1975,4,8,0,NYA,CLE,AL,AL,CLE07,41.506091,-81.699404,593.0,1,0,0,2,28,28,0.03571428571428571,0.0,9,10,1,1,0,0,6,3,1,4,0,0,3,5,34,32
6,19750408,1975,4,8,1,CHA,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,0,0,0,0,24,28,0.0,0.0,8,6,1,2,0,0,8,1,2,6,0,0,2,3,32,29
7,19750408,1975,4,8,1,MIN,TEX,AL,AL,ARL01,32.755974,-97.084778,552.0,0,3,2,0,40,26,0.0,0.075,17,9,3,1,1,0,3,8,4,5,0,2,11,4,45,33
8,19750408,1975,4,8,1,ATL,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,1,1,0,0,29,26,0.038461538461538464,0.034482758620689655,9,5,0,1,0,0,8,4,1,0,1,0,2,0,37,30
9,19750408,1975,4,8,0,PHI,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,1,1,0,1,20,22,0.045454545454545456,0.05,6,4,3,1,0,0,9,6,2,2,0,0,1,2,29,29
10,19750409,1975,4,9,0,MIL,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,2,0,0,28,29,0.0,0.07142857142857142,8,7,2,1,0,1,3,4,7,3,0,1,7,4,29,33
11,19750409,1975,4,9,1,KCA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,1,1,2,0,27,29,0.034482758620689655,0.037037037037037035,11,13,1,1,0,0,7,6,5,5,4,1,7,6,36,34
12,19750409,1975,4,9,1,CHA,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,2,2,0,1,33,28,0.07142857142857142,0.06060606060606061,15,7,3,1,1,0,5,3,4,4,0,0,7,5,38,32
13,19750409,1975,4,9,1,MIN,TEX,AL,AL,ARL01,32.755974,-97.084778,552.0,2,2,1,0,31,26,0.07692307692307693,0.06451612903225806,7,6,1,0,0,1,3,5,2,6,0,0,3,2,34,31
14,19750409,1975,4,9,1,LAN,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,1,1,1,0,26,30,0.03333333333333333,0.038461538461538464,7,10,2,2,0,1,6,2,7,3,0,0,3,4,33,31
15,19750409,1975,4,9,1,ATL,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,1,1,0,0,30,33,0.030303030303030304,0.03333333333333333,8,15,2,3,0,0,4,2,1,7,1,0,2,14,34,35
16,19750409,1975,4,9,0,MON,SLN,NL,NL,STL09,38.62393,-90.192326,460.0,0,0,0,0,21,29,0.0,0.0,2,12,0,1,0,0,6,4,0,5,0,0,0,4,27,32
17,19750410,1975,4,10,1,BAL,DET,AL,AL,DET04,42.332541,-83.068732,601.0,0,0,1,0,31,25,0.0,0.0,13,3,2,0,0,0,6,4,5,0,0,0,10,0,37,29
18,19750410,1975,4,10,0,CHA,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,0,0,0,1,26,24,0.0,0.0,3,10,1,2,0,0,3,6,3,10,0,0,0,9,29,31
19,19750410,1975,4,10,1,MIN,TEX,AL,AL,ARL01,32.755974,-97.084778,552.0,3,2,0,1,27,25,0.12,0.07407407407407407,9,6,1,2,0,0,6,5,5,3,0,0,4,5,32,31
20,19750410,1975,4,10,0,PIT,CHN,NL,NL,CHI11,41.948314,-87.655397,599.0,1,1,4,0,28,32,0.03125,0.03571428571428571,12,11,2,6,0,0,4,4,2,5,0,0,8,4,36,36
21,19750410,1975,4,10,1,LAN,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,0,1,0,2,33,24,0.0,0.030303030303030304,9,10,4,3,1,0,3,4,4,6,0,1,6,7,35,30
22,19750410,1975,4,10,0,PHI,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,0,2,0,0,35,35,0.0,0.05714285714285714,14,6,2,1,1,0,7,1,3,3,0,0,3,2,42,36
23,19750410,1975,4,10,1,SFN,SDN,NL,NL,SAN01,32.783073,-117.11964499999999,83.0,0,0,0,0,25,28,0.0,0.0,6,8,2,2,0,0,5,4,3,1,0,0,2,0,30,32
24,19750410,1975,4,10,0,MON,SLN,NL,NL,STL09,38.62393,-90.192326,460.0,2,1,1,0,25,26,0.07692307692307693,0.04,5,9,0,1,0,1,3,6,2,4,0,0,2,7,29,32
25,19750411,1975,4,11,0,BOS,BAL,AL,AL,BAL11,39.330001,-76.601488,231.0,0,0,3,0,36,39,0.0,0.0,11,11,0,2,1,1,5,5,6,4,0,0,6,5,44,43
26,19750411,1975,4,11,1,CHA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,0,0,0,20,29,0.0,0.0,6,13,0,1,0,0,10,3,4,6,1,0,0,5,30,32
27,19750411,1975,4,11,1,MIN,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,2,1,0,0,31,30,0.06666666666666667,0.03225806451612903,5,11,3,4,0,0,1,3,2,6,0,0,3,8,31,33
28,19750411,1975,4,11,0,CLE,MIL,AL,AL,MIL05,43.0299,-87.974365,606.0,1,1,0,1,34,27,0.037037037037037035,0.029411764705882353,7,7,1,1,0,0,0,2,3,4,0,0,2,6,34,30
29,19750411,1975,4,11,0,DET,NYA,AL,AL,NYC17,40.755753000000006,-73.847814,13.0,1,1,2,0,26,26,0.038461538461538464,0.038461538461538464,7,10,0,3,0,0,5,9,2,4,0,0,5,3,33,35
30,19750411,1975,4,11,1,OAK,TEX,AL,AL,ARL01,32.755974,-97.084778,552.0,0,3,1,2,27,25,0.0,0.1111111111111111,9,9,1,1,1,0,8,8,6,2,0,0,7,5,36,35
31,19750411,1975,4,11,0,MON,CHN,NL,NL,CHI11,41.948314,-87.655397,599.0,2,1,0,0,29,27,0.07407407407407407,0.034482758620689655,6,5,2,1,0,0,2,1,2,6,0,0,1,2,31,27
32,19750411,1975,4,11,1,LAN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,1,0,1,0,28,22,0.045454545454545456,0.0,10,4,4,1,0,1,6,9,8,1,0,0,7,0,35,31
33,19750411,1975,4,11,1,SLN,PHI,NL,NL,PHI12,39.906537,-75.171495,18.0,0,0,1,2,35,27,0.0,0.0,12,9,1,0,1,0,3,7,4,4,0,0,6,3,39,36
34,19750411,1975,4,11,0,NYN,PIT,NL,NL,PIT07,40.446533,-80.012614,730.0,1,0,2,0,27,34,0.029411764705882353,0.0,10,12,2,0,0,0,5,2,4,2,0,0,3,4,34,36
35,19750411,1975,4,11,1,CIN,SDN,NL,NL,SAN01,32.783073,-117.11964499999999,83.0,0,0,0,0,29,25,0.0,0.0,10,10,2,2,0,0,8,7,3,3,0,0,2,5,37,32
36,19750411,1975,4,11,0,ATL,SFN,NL,NL,SFO02,37.713297,-122.38627,135.0,0,0,2,0,33,25,0.0,0.0,11,3,1,1,0,1,0,4,0,3,0,0,4,2,35,29
37,19750412,1975,4,12,0,BOS,BAL,AL,AL,BAL11,39.330001,-76.601488,231.0,1,1,1,0,34,38,0.02631578947368421,0.029411764705882353,8,8,2,2,0,1,5,6,3,5,1,0,3,2,40,44
38,19750412,1975,4,12,0,CHA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,1,0,1,26,33,0.0,0.038461538461538464,7,12,1,3,0,0,9,6,2,2,0,0,3,4,35,40
39,19750412,1975,4,12,0,MIN,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,1,2,0,0,28,36,0.027777777777777776,0.07142857142857142,6,11,1,2,0,0,5,2,2,2,0,0,1,2,33,38
40,19750412,1975,4,12,0,CLE,MIL,AL,AL,MIL05,43.0299,-87.974365,606.0,0,1,3,2,32,21,0.0,0.03125,12,9,3,4,0,0,4,6,4,8,0,2,5,6,39,29
41,19750412,1975,4,12,0,DET,NYA,AL,AL,NYC17,40.755753000000006,-73.847814,13.0,1,2,2,0,28,30,0.03333333333333333,0.07142857142857142,7,6,0,1,0,0,4,4,5,3,0,0,7,2,33,34
42,19750412,1975,4,12,0,OAK,TEX,AL,AL,ARL01,32.755974,-97.084778,552.0,0,0,2,1,29,26,0.0,0.0,10,3,1,0,0,0,5,3,2,2,1,0,5,4,36,30
43,19750412,1975,4,12,0,MON,CHN,NL,NL,CHI11,41.948314,-87.655397,599.0,2,1,0,0,26,32,0.0625,0.038461538461538464,8,9,2,3,0,0,5,1,4,2,0,0,3,6,31,33
44,19750412,1975,4,12,1,LAN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,0,0,0,1,28,24,0.0,0.0,7,8,1,3,1,0,5,4,6,5,0,0,5,7,31,29
45,19750412,1975,4,12,0,SLN,PHI,NL,NL,PHI12,39.906537,-75.171495,18.0,0,0,0,0,31,39,0.0,0.0,11,14,2,3,1,0,3,0,7,2,0,0,7,5,32,39
46,19750412,1975,4,12,1,CIN,SDN,NL,NL,SAN01,32.783073,-117.11964499999999,83.0,0,0,0,0,25,32,0.0,0.0,6,12,2,1,0,0,6,2,7,0,0,0,2,3,30,32
47,19750412,1975,4,12,0,ATL,SFN,NL,NL,SFO02,37.713297,-122.38627,135.0,0,3,1,1,26,32,0.0,0.11538461538461539,5,8,1,3,0,0,5,2,7,4,0,1,7,4,31,35
