,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,20020331,2002,3,31,1,CLE,ANA,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,1,1,0,25,26,0.0,0.04,11,5,1,1,0,0,9,5,3,2,0,0,6,0,35,31
1,20020401,2002,4,1,0,NYA,BAL,AL,AL,BAL12,39.283944,-76.621572,35.0,1,1,1,1,25,24,0.041666666666666664,0.04,6,9,1,2,0,0,4,7,8,7,2,0,3,10,30,32
2,20020401,2002,4,1,0,TOR,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,2,0,4,34,27,0.0,0.058823529411764705,14,13,3,1,1,0,7,8,6,13,2,0,12,11,38,38
3,20020401,2002,4,1,0,MIN,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,1,0,5,0,28,29,0.034482758620689655,0.0,12,10,1,2,0,2,5,6,3,3,0,0,8,6,38,33
4,20020401,2002,4,1,1,TEX,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,0,0,1,2,23,27,0.0,0.0,7,13,2,4,0,0,8,6,0,1,1,0,3,8,32,35
5,20020401,2002,4,1,0,CHA,SEA,AL,AL,SEA03,47.591443,-122.332283,17.0,1,0,1,1,33,27,0.037037037037037035,0.0,11,8,4,1,0,0,3,6,4,6,1,0,6,5,37,34
6,20020401,2002,4,1,0,SDN,ARI,NL,NL,PHO01,33.44542,-112.06679299999999,1059.0,0,0,0,1,24,23,0.0,0.0,6,5,1,1,0,0,8,4,1,1,0,0,0,2,32,28
7,20020401,2002,4,1,0,PHI,ATL,NL,NL,ATL02,33.735487,-84.389464,939.0,2,0,1,2,21,28,0.07142857142857142,0.0,5,8,2,3,0,0,10,4,2,4,1,0,2,7,31,34
8,20020401,2002,4,1,0,CHN,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,1,1,0,1,31,32,0.03125,0.03225806451612903,10,12,2,3,1,0,6,4,8,1,0,2,4,5,37,35
9,20020401,2002,4,1,0,PIT,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,1,1,0,1,23,20,0.05,0.043478260869565216,4,9,0,1,0,0,8,12,3,5,1,0,2,6,30,32
10,20020401,2002,4,1,0,COL,SLN,NL,NL,STL09,38.62393,-90.192326,460.0,1,0,0,1,23,35,0.02857142857142857,0.0,8,14,2,5,0,0,11,3,3,5,0,0,2,10,33,38
