,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,20150405,2015,4,5,1,SLN,CHN,NL,NL,CHI11,41.948314,-87.655397,599.0,0,2,0,0,25,20,0.0,0.08,10,5,3,3,0,0,11,12,4,2,0,0,3,0,36,32
1,20150406,2015,4,6,0,MIN,DET,AL,AL,DET05,42.339063,-83.048627,602.0,0,0,0,2,25,24,0.0,0.0,5,10,0,1,0,1,6,6,0,2,0,0,0,4,31,31
2,20150406,2015,4,6,1,CLE,HOU,AL,AL,HOU03,29.757040999999997,-95.355429,20.0,0,0,0,0,22,19,0.0,0.0,3,3,0,0,0,0,7,7,3,2,0,0,0,2,29,25
3,20150406,2015,4,6,0,CHA,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,0,0,1,2,24,29,0.0,0.0,5,13,1,3,0,0,3,3,2,5,1,0,1,10,28,34
4,20150406,2015,4,6,0,TOR,NYA,AL,AL,NYC21,40.829586,-73.926413,11.0,0,1,2,1,19,23,0.0,0.05263157894736842,6,3,0,0,0,0,12,5,5,3,0,0,6,1,33,29
5,20150406,2015,4,6,1,TEX,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,1,1,0,2,23,26,0.038461538461538464,0.043478260869565216,1,11,0,3,0,1,5,9,1,4,2,0,0,8,28,37
6,20150406,2015,4,6,0,ANA,SEA,AL,AL,SEA03,47.591443,-122.332283,17.0,0,0,1,1,16,28,0.0,0.0,4,10,0,3,0,1,12,3,2,1,1,0,1,4,29,32
7,20150406,2015,4,6,0,BAL,TBA,AL,AL,STP01,27.768254,-82.65343100000001,41.0,0,1,3,1,20,23,0.0,0.05,8,8,2,2,0,0,11,8,2,3,1,0,6,2,34,32
8,20150406,2015,4,6,1,SFN,ARI,NL,NL,PHO01,33.44542,-112.06679299999999,1059.0,0,1,0,0,31,28,0.0,0.03225806451612903,13,9,3,1,0,1,7,6,2,3,1,0,5,4,37,34
9,20150406,2015,4,6,0,PIT,CIN,NL,NL,CIN09,39.097213,-84.506483,489.0,0,0,1,2,20,19,0.0,0.0,7,5,1,0,0,0,13,8,1,3,0,0,2,5,34,29
10,20150406,2015,4,6,0,SDN,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,1,0,0,2,19,21,0.047619047619047616,0.0,7,9,4,4,0,1,12,10,2,5,0,0,3,6,31,33
