,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,20170402,2017,4,2,0,SFN,ARI,NL,NL,PHO01,33.44542,-112.06679299999999,1059.0,0,0,2,1,27,25,0.0,0.0,11,13,2,1,1,1,7,12,5,0,0,2,5,6,34,38
1,20170402,2017,4,2,1,CHN,SLN,NL,NL,STL10,38.622622,-90.192841,438.0,0,0,1,1,21,27,0.0,0.0,8,11,1,2,0,0,12,8,0,8,1,0,3,4,34,35
2,20170402,2017,4,2,0,NYA,TBA,AL,AL,STP01,27.768254,-82.65343100000001,41.0,1,1,0,2,29,25,0.04,0.034482758620689655,9,13,1,2,0,0,8,10,1,3,1,0,3,7,36,36
3,20170403,2017,4,3,0,PHI,CIN,NL,NL,CIN09,39.097213,-84.506483,489.0,0,1,2,1,25,26,0.0,0.04,10,9,4,1,1,1,8,6,5,2,0,1,4,3,35,32
4,20170403,2017,4,3,0,SDN,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,0,1,1,4,23,28,0.0,0.043478260869565216,5,14,1,4,0,0,9,5,0,5,3,1,3,14,33,36
5,20170403,2017,4,3,0,COL,MIL,NL,NL,MIL06,43.028232,-87.970966,602.0,0,3,1,0,25,17,0.0,0.12,10,7,3,4,0,0,8,14,2,6,0,0,7,5,34,31
6,20170403,2017,4,3,0,ATL,NYN,NL,NL,NYC20,40.757134,-73.84584,13.0,0,0,0,0,22,25,0.0,0.0,7,7,1,1,1,0,11,6,0,8,2,0,0,6,33,30
7,20170403,2017,4,3,0,MIA,WAS,NL,NL,WAS11,38.872987,-77.007435,23.0,0,0,0,2,28,20,0.0,0.0,6,9,2,2,0,0,5,9,0,3,0,0,2,4,33,31
8,20170403,2017,4,3,0,TOR,BAL,AL,AL,BAL12,39.283944,-76.621572,35.0,0,0,0,1,34,33,0.0,0.0,11,9,1,4,0,0,8,5,6,2,0,0,2,3,42,39
9,20170403,2017,4,3,0,PIT,BOS,NL,AL,BOS07,42.346561,-71.097337,16.0,1,1,0,1,27,25,0.04,0.037037037037037035,8,10,2,0,0,1,8,7,2,2,0,1,3,5,34,33
10,20170403,2017,4,3,1,SEA,HOU,AL,AL,HOU03,29.757040999999997,-95.355429,20.0,1,0,0,2,21,20,0.05,0.0,3,6,0,0,0,0,8,6,4,1,0,1,0,3,29,27
11,20170403,2017,4,3,0,KCA,MIN,AL,AL,MIN04,44.981749,-93.278026,840.0,0,0,1,1,23,19,0.0,0.0,3,8,0,0,0,0,4,11,2,7,0,0,1,7,28,31
12,20170403,2017,4,3,1,ANA,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,0,0,1,3,20,23,0.0,0.0,7,9,1,0,0,0,11,6,4,5,0,1,2,4,32,32
13,20170403,2017,4,3,1,CLE,TEX,AL,AL,ARL02,32.751164,-97.082546,549.0,0,1,2,3,29,19,0.0,0.034482758620689655,9,8,3,2,0,1,4,12,5,3,0,2,8,5,34,34
