,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,19960331,1996,3,31,1,CHA,SEA,AL,AL,SEA02,47.595133000000004,-122.331639,17.0,1,0,1,1,15,31,0.03225806451612903,0.0,5,9,1,2,0,0,21,8,6,12,1,0,2,3,37,40
1,19960401,1996,4,1,0,DET,MIN,AL,AL,MIN03,44.973926,-93.258287,854.0,0,1,1,1,26,22,0.0,0.038461538461538464,10,12,1,2,0,0,10,9,5,5,0,0,6,8,36,31
2,19960401,1996,4,1,1,TOR,OAK,AL,AL,LAS01,36.179914000000004,-115.12970800000001,1907.0,0,0,3,2,27,23,0.0,0.0,13,5,1,1,1,0,9,6,4,6,0,0,9,6,39,31
3,19960401,1996,4,1,0,BOS,TEX,AL,AL,ARL02,32.751164,-97.082546,549.0,2,0,1,1,27,20,0.1,0.0,8,5,1,2,0,0,7,8,0,8,0,0,3,5,35,28
4,19960401,1996,4,1,0,SFN,ATL,NL,NL,ATL01,33.739457,-84.389486,979.0,1,0,2,5,28,24,0.041666666666666664,0.0,12,9,2,0,0,0,7,4,5,4,0,0,8,10,37,33
5,19960401,1996,4,1,0,SDN,CHN,NL,NL,CHI11,41.948314,-87.655397,599.0,0,0,0,2,28,23,0.0,0.0,6,8,2,0,0,0,7,9,4,4,0,3,4,5,35,34
6,19960401,1996,4,1,0,PIT,FLO,NL,NL,MIA01,25.957877,-80.238831,5.0,0,1,0,0,31,22,0.0,0.03225806451612903,9,3,2,1,1,0,4,7,4,2,0,0,4,0,35,29
7,19960401,1996,4,1,0,LAN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,0,1,0,1,27,25,0.0,0.037037037037037035,11,6,1,1,0,1,11,6,4,3,0,0,4,3,38,31
8,19960401,1996,4,1,0,SLN,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,0,0,2,2,27,24,0.0,0.0,13,10,2,0,0,0,5,6,2,1,0,1,6,7,33,31
9,19960402,1996,4,2,0,KCA,BAL,AL,AL,BAL12,39.283944,-76.621572,35.0,0,0,0,0,23,25,0.0,0.0,5,9,1,4,0,0,6,7,3,2,0,0,2,4,29,32
10,19960402,1996,4,2,1,MIL,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,2,1,4,3,37,36,0.05555555555555555,0.02702702702702703,22,15,3,1,0,0,7,3,2,0,0,0,15,9,47,42
11,19960402,1996,4,2,0,NYA,CLE,AL,AL,CLE08,41.496005,-81.685326,673.0,0,0,2,0,27,24,0.0,0.0,10,4,3,1,0,0,8,5,4,7,0,0,7,1,37,29
12,19960402,1996,4,2,1,DET,MIN,AL,AL,MIN03,44.973926,-93.258287,854.0,0,1,1,1,30,29,0.0,0.03333333333333333,14,14,4,2,0,1,7,8,6,5,0,0,10,6,37,38
13,19960402,1996,4,2,1,CHA,SEA,AL,AL,SEA02,47.595133000000004,-122.331639,17.0,1,2,1,0,26,19,0.05263157894736842,0.07692307692307693,5,4,1,1,0,0,3,8,4,3,0,0,2,3,30,27
14,19960402,1996,4,2,0,MON,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,3,0,0,0,24,21,0.14285714285714285,0.0,7,7,2,3,0,0,9,10,4,9,1,0,1,4,33,31
15,19960402,1996,4,2,1,PIT,FLO,NL,NL,MIA01,25.957877,-80.238831,5.0,0,2,1,1,29,25,0.0,0.06896551724137931,7,7,2,0,0,0,5,4,0,0,0,0,4,1,35,30
16,19960402,1996,4,2,1,LAN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,1,2,0,0,26,34,0.029411764705882353,0.07692307692307693,11,14,2,6,0,0,11,3,4,2,0,0,4,5,37,36
17,19960402,1996,4,2,1,COL,PHI,NL,NL,PHI12,39.906537,-75.171495,18.0,0,0,1,2,17,22,0.0,0.0,5,4,1,2,0,0,11,7,4,8,0,0,5,3,29,31
18,19960403,1996,4,3,1,KCA,BAL,AL,AL,BAL12,39.283944,-76.621572,35.0,3,0,0,2,24,30,0.1,0.0,6,14,2,1,0,0,6,4,4,2,1,1,1,7,29,36
