,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,19560417,1956,4,17,0,BAL,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,1,1,0,0,28,36,0.027777777777777776,0.03571428571428571,8,16,2,4,0,0,7,2,4,3,0,0,1,8,35,37
1,19560417,1956,4,17,0,CLE,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,0,0,1,0,23,24,0.0,0.0,5,7,0,1,0,0,5,7,3,3,0,0,1,2,29,31
2,19560417,1956,4,17,0,KC1,DET,AL,AL,DET04,42.332541,-83.068732,601.0,0,1,0,1,28,28,0.0,0.03571428571428571,6,8,3,3,0,0,4,5,1,4,1,0,2,1,32,34
3,19560417,1956,4,17,0,NYA,WS1,AL,AL,WAS09,38.917576000000004,-77.020191,100.0,0,1,3,3,25,24,0.0,0.04,12,6,1,1,0,0,12,6,4,3,0,1,10,4,40,33
4,19560417,1956,4,17,0,PHI,BRO,NL,NL,NYC15,40.664768,-73.95837399999999,84.0,2,2,2,2,28,30,0.06666666666666667,0.07142857142857142,8,9,1,3,0,0,6,4,5,4,0,1,8,6,36,35
5,19560417,1956,4,17,0,SLN,CIN,NL,NL,CIN07,39.116854,-84.535505,488.0,0,0,1,1,33,31,0.0,0.0,12,12,3,4,0,0,3,6,3,2,0,0,4,2,37,38
6,19560417,1956,4,17,0,CHN,MLN,NL,NL,MIL05,43.0299,-87.974365,606.0,0,0,0,2,23,31,0.0,0.0,5,11,1,1,0,1,6,1,1,3,0,0,0,6,29,33
7,19560417,1956,4,17,0,PIT,NY1,NL,NL,NYC14,40.8316,-73.93689599999999,13.0,3,2,2,1,27,25,0.12,0.07407407407407407,6,5,0,2,0,0,4,4,1,4,0,1,3,4,33,29
8,19560418,1956,4,18,0,BAL,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,1,0,2,0,24,28,0.03571428571428571,0.0,5,8,1,4,0,0,5,2,5,12,0,0,4,8,31,29
9,19560418,1956,4,18,1,NYA,WS1,AL,AL,WAS09,38.917576000000004,-77.020191,100.0,3,2,0,1,32,35,0.08571428571428572,0.0625,12,9,2,0,0,1,4,1,8,6,0,0,9,5,36,37
10,19560418,1956,4,18,0,PIT,NY1,NL,NL,NYC14,40.8316,-73.93689599999999,13.0,1,1,2,2,23,29,0.034482758620689655,0.043478260869565216,9,10,1,1,0,0,8,4,6,4,1,1,4,5,33,34
11,19560419,1956,4,19,0,BAL,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,1,1,0,0,25,28,0.03571428571428571,0.04,2,8,1,3,0,1,2,4,4,4,0,0,2,4,27,32
12,19560419,1956,4,19,0,CLE,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,0,0,0,0,23,13,0.0,0.0,2,2,0,0,0,0,5,10,2,5,1,0,0,1,28,22
13,19560419,1956,4,19,0,KC1,DET,AL,AL,DET04,42.332541,-83.068732,601.0,1,1,0,1,35,29,0.034482758620689655,0.02857142857142857,11,5,1,1,0,0,3,3,1,0,0,0,4,1,38,33
14,19560419,1956,4,19,0,NYA,WS1,AL,AL,WAS09,38.917576000000004,-77.020191,100.0,3,0,1,2,27,27,0.1111111111111111,0.0,7,9,1,1,0,0,5,3,3,3,0,0,3,7,33,32
