,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,19660411,1966,4,11,0,CLE,WS2,AL,AL,WAS10,38.889765999999995,-76.971837,24.0,1,1,0,1,31,19,0.05263157894736842,0.03225806451612903,11,4,1,0,0,0,5,9,4,4,0,0,5,2,35,29
1,19660412,1966,4,12,0,BAL,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,1,2,0,32,37,0.0,0.03125,11,9,1,1,0,1,10,8,9,6,0,1,5,4,44,45
2,19660412,1966,4,12,0,CAL,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,0,0,1,1,28,38,0.0,0.0,7,11,0,1,1,0,17,5,10,4,1,0,2,3,46,44
3,19660412,1966,4,12,0,KC1,MIN,AL,AL,MIN02,44.854783000000005,-93.242921,821.0,1,0,0,0,28,24,0.041666666666666664,0.0,6,4,1,1,1,0,1,2,2,2,1,0,1,2,29,26
4,19660412,1966,4,12,0,DET,NYA,AL,AL,NYC16,40.826959,-73.927749,18.0,0,2,0,1,26,20,0.0,0.07692307692307693,6,6,1,1,0,0,4,10,2,4,0,0,2,1,30,31
5,19660412,1966,4,12,1,PIT,ATL,NL,NL,ATL01,33.739457,-84.389486,979.0,0,1,2,2,32,33,0.0,0.03125,10,8,0,0,0,0,12,7,3,8,1,2,3,2,46,42
6,19660412,1966,4,12,1,HOU,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,0,2,0,0,27,28,0.0,0.07407407407407407,6,10,0,0,0,0,5,1,2,1,0,0,2,3,31,28
7,19660412,1966,4,12,1,CHN,SFN,NL,NL,SFO02,37.713297,-122.38627,135.0,1,2,0,2,24,29,0.034482758620689655,0.08333333333333333,3,13,1,2,0,0,8,4,0,1,0,0,1,9,32,35
8,19660413,1966,4,13,0,BAL,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,2,3,0,21,26,0.0,0.09523809523809523,8,5,2,0,0,0,12,6,3,8,1,0,8,1,36,32
9,19660413,1966,4,13,0,KC1,MIN,AL,AL,MIN02,44.854783000000005,-93.242921,821.0,1,2,0,2,30,22,0.045454545454545456,0.06666666666666667,8,7,0,0,0,0,4,5,2,3,0,0,3,5,33,29
10,19660413,1966,4,13,1,PIT,ATL,NL,NL,ATL01,33.739457,-84.389486,979.0,0,2,2,0,31,26,0.0,0.06451612903225806,12,4,2,0,1,0,3,4,1,0,0,0,6,0,36,30
11,19660413,1966,4,13,1,HOU,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,0,1,2,2,26,28,0.0,0.038461538461538464,9,6,0,0,1,0,7,2,2,7,0,0,7,6,34,31
12,19660413,1966,4,13,1,CHN,SFN,NL,NL,SFO02,37.713297,-122.38627,135.0,1,0,0,0,22,28,0.03571428571428571,0.0,4,6,1,2,1,0,9,1,0,7,1,1,0,4,31,28
13,19660413,1966,4,13,1,PHI,SLN,NL,NL,STL07,38.657718,-90.220344,492.0,0,2,0,0,40,33,0.0,0.05,11,10,1,2,0,1,6,12,5,2,0,0,3,2,46,45
14,19660414,1966,4,14,0,CAL,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,1,0,2,0,23,25,0.04,0.0,6,7,0,0,0,0,7,5,3,4,1,1,2,1,32,30
15,19660414,1966,4,14,0,KC1,MIN,AL,AL,MIN02,44.854783000000005,-93.242921,821.0,3,0,0,1,22,25,0.12,0.0,6,7,0,0,0,0,10,3,2,6,0,2,2,4,32,29
16,19660414,1966,4,14,1,HOU,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,0,3,1,2,24,28,0.0,0.125,9,10,1,1,0,0,9,4,1,2,0,0,4,2,33,34
17,19660414,1966,4,14,0,CHN,SFN,NL,NL,SFO02,37.713297,-122.38627,135.0,0,1,2,1,33,21,0.0,0.030303030303030304,16,8,1,0,0,0,5,10,4,4,0,2,9,4,40,31
18,19660414,1966,4,14,1,PHI,SLN,NL,NL,STL07,38.657718,-90.220344,492.0,0,0,1,1,18,27,0.0,0.0,7,11,0,0,0,0,14,5,4,5,1,1,5,4,33,31
19,19660415,1966,4,15,0,NYA,BAL,AL,AL,BAL11,39.330001,-76.601488,231.0,0,0,1,1,26,27,0.0,0.0,6,6,1,0,0,0,4,3,2,0,0,0,3,2,31,31
20,19660415,1966,4,15,0,BOS,CLE,AL,AL,CLE07,41.506091,-81.699404,593.0,5,1,0,0,24,39,0.1282051282051282,0.041666666666666664,7,10,2,0,1,0,17,6,10,10,0,0,7,8,41,44
21,19660415,1966,4,15,0,WS2,DET,AL,AL,DET04,42.332541,-83.068732,601.0,1,1,1,2,26,27,0.037037037037037035,0.038461538461538464,5,11,2,3,0,0,5,4,3,6,0,0,3,8,32,33
22,19660415,1966,4,15,0,CAL,MIN,AL,AL,MIN02,44.854783000000005,-93.242921,821.0,0,3,2,1,25,29,0.0,0.12,11,8,1,0,1,0,12,3,6,3,0,0,9,4,38,33
23,19660415,1966,4,15,1,CHN,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,2,0,0,1,25,27,0.07407407407407407,0.0,9,7,1,1,0,0,6,3,3,4,0,0,2,4,29,31
