,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,19870406,1987,4,6,0,TEX,BAL,AL,AL,BAL11,39.330001,-76.601488,231.0,2,0,1,0,25,27,0.07407407407407407,0.0,6,5,1,2,0,0,3,5,3,3,0,0,1,2,29,31
1,19870406,1987,4,6,0,NYA,DET,AL,AL,DET04,42.332541,-83.068732,601.0,0,1,0,1,32,26,0.0,0.03125,9,5,1,1,0,1,4,6,2,4,0,0,2,1,36,33
2,19870406,1987,4,6,0,CHA,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,1,1,0,1,28,29,0.034482758620689655,0.03571428571428571,8,10,1,1,0,1,7,5,5,4,0,0,5,4,35,35
3,19870406,1987,4,6,0,BOS,MIL,AL,AL,MIL05,43.0299,-87.974365,606.0,0,1,0,0,29,28,0.0,0.034482758620689655,7,12,2,3,0,1,3,6,3,1,0,0,1,5,32,34
4,19870406,1987,4,6,0,CLE,TOR,AL,AL,TOR01,43.632568,-79.417679,273.0,1,0,2,2,25,28,0.03571428571428571,0.0,6,11,3,4,0,1,5,4,4,4,0,1,3,7,32,34
5,19870406,1987,4,6,0,MON,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,2,1,1,3,29,30,0.06666666666666667,0.034482758620689655,12,12,4,3,0,1,7,4,1,4,1,0,5,11,37,36
6,19870406,1987,4,6,1,LAN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,1,1,0,1,24,31,0.03225806451612903,0.041666666666666664,8,8,0,1,0,0,11,1,3,1,1,0,3,4,35,33
7,19870406,1987,4,6,0,SDN,SFN,NL,NL,SFO02,37.713297,-122.38627,135.0,0,1,1,0,36,35,0.0,0.027777777777777776,11,10,0,2,0,1,6,7,1,6,0,0,3,4,43,42
8,19870407,1987,4,7,0,SEA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,3,0,0,0,22,28,0.10714285714285714,0.0,5,8,0,4,0,0,8,4,4,6,1,0,1,7,30,32
9,19870407,1987,4,7,1,OAK,MIN,AL,AL,MIN03,44.973926,-93.258287,854.0,0,0,1,1,27,26,0.0,0.0,5,10,2,3,0,1,7,10,3,4,0,1,4,5,35,37
10,19870407,1987,4,7,1,PHI,ATL,NL,NL,ATL01,33.739457,-84.389486,979.0,0,0,0,0,23,24,0.0,0.0,3,9,0,3,0,0,2,4,4,8,0,1,0,6,25,27
11,19870407,1987,4,7,0,SLN,CHN,NL,NL,CHI11,41.948314,-87.655397,599.0,1,1,0,0,32,29,0.034482758620689655,0.03125,11,9,2,3,0,1,7,5,11,3,0,0,9,3,39,33
12,19870407,1987,4,7,1,LAN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,1,0,1,0,27,28,0.03571428571428571,0.0,8,13,2,1,1,0,6,8,2,5,2,0,5,6,34,36
13,19870407,1987,4,7,0,PIT,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,1,2,0,1,34,25,0.04,0.058823529411764705,13,7,1,1,1,0,4,4,2,1,0,0,2,3,38,30
14,19870407,1987,4,7,1,SDN,SFN,NL,NL,SFO02,37.713297,-122.38627,135.0,2,2,1,2,27,25,0.08,0.07407407407407407,6,5,1,1,1,0,4,3,2,1,0,0,3,4,32,30
15,19870408,1987,4,8,0,TEX,BAL,AL,AL,BAL11,39.330001,-76.601488,231.0,1,1,0,0,28,29,0.034482758620689655,0.03571428571428571,8,11,3,4,0,0,6,6,6,1,0,0,6,4,34,35
16,19870408,1987,4,8,1,SEA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,0,0,2,24,26,0.0,0.0,5,13,1,1,0,1,6,6,1,4,0,0,1,7,30,33
17,19870408,1987,4,8,0,NYA,DET,AL,AL,DET04,42.332541,-83.068732,601.0,0,1,1,1,29,27,0.0,0.034482758620689655,10,8,3,0,0,0,5,5,4,3,1,1,6,5,35,33
18,19870408,1987,4,8,1,CHA,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,0,4,0,2,28,30,0.0,0.14285714285714285,6,15,3,4,0,1,9,3,2,6,0,0,3,9,37,35
19,19870408,1987,4,8,1,BOS,MIL,AL,AL,MIL05,43.0299,-87.974365,606.0,1,0,0,0,28,26,0.038461538461538464,0.0,4,10,1,2,0,0,3,7,2,3,0,0,2,3,31,33
20,19870408,1987,4,8,1,OAK,MIN,AL,AL,MIN03,44.973926,-93.258287,854.0,3,0,0,1,19,26,0.11538461538461539,0.0,5,8,0,3,0,0,12,4,4,4,1,0,1,4,31,31
21,19870408,1987,4,8,0,CLE,TOR,AL,AL,TOR01,43.632568,-79.417679,273.0,0,1,0,2,30,22,0.0,0.03333333333333333,8,7,2,0,0,0,5,6,2,3,0,0,1,5,35,30
22,19870408,1987,4,8,0,MON,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,1,0,0,1,24,29,0.034482758620689655,0.0,5,11,3,1,0,0,7,3,1,3,0,1,2,7,31,33
23,19870408,1987,4,8,1,LAN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,1,1,0,1,24,23,0.043478260869565216,0.041666666666666664,9,11,2,2,0,0,12,11,2,1,0,0,3,7,36,35
24,19870408,1987,4,8,0,SDN,SFN,NL,NL,SFO02,37.713297,-122.38627,135.0,0,0,0,1,24,17,0.0,0.0,6,6,2,1,0,0,7,8,0,2,0,0,1,2,31,26
25,19870409,1987,4,9,1,TEX,BAL,AL,AL,BAL11,39.330001,-76.601488,231.0,1,1,3,3,24,27,0.037037037037037035,0.041666666666666664,8,12,3,4,0,0,9,5,2,3,0,0,6,8,36,34
26,19870409,1987,4,9,1,SEA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,0,2,1,28,26,0.0,0.0,9,7,4,1,0,0,5,7,5,1,0,1,7,2,35,33
27,19870409,1987,4,9,0,NYA,DET,AL,AL,DET04,42.332541,-83.068732,601.0,1,1,0,1,30,33,0.030303030303030304,0.03333333333333333,10,11,2,2,0,0,6,1,2,5,1,0,3,9,35,33
28,19870409,1987,4,9,1,CHA,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,0,1,0,0,27,22,0.0,0.037037037037037035,8,3,2,0,2,0,7,6,4,5,0,0,6,0,34,28
29,19870409,1987,4,9,0,BOS,MIL,AL,AL,MIL05,43.0299,-87.974365,606.0,3,1,3,4,29,29,0.10344827586206896,0.034482758620689655,12,14,3,2,0,0,6,4,5,1,0,0,11,12,38,37
30,19870409,1987,4,9,0,OAK,MIN,AL,AL,MIN03,44.973926,-93.258287,854.0,0,0,1,1,24,29,0.0,0.0,9,10,2,3,0,0,9,2,5,4,3,0,4,5,34,32
31,19870409,1987,4,9,0,CLE,TOR,AL,AL,TOR01,43.632568,-79.417679,273.0,0,0,4,1,28,32,0.0,0.0,15,11,4,1,0,1,9,3,5,4,1,0,14,3,41,36
32,19870409,1987,4,9,1,PHI,ATL,NL,NL,ATL01,33.739457,-84.389486,979.0,1,2,0,2,31,33,0.030303030303030304,0.06451612903225806,10,16,1,3,0,0,9,5,4,3,0,0,7,8,40,40
33,19870409,1987,4,9,0,SLN,CHN,NL,NL,CHI11,41.948314,-87.655397,599.0,0,0,1,2,27,19,0.0,0.0,8,5,1,0,0,0,6,11,3,6,0,1,4,2,33,32
34,19870409,1987,4,9,1,SFN,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,0,0,2,0,26,27,0.0,0.0,12,9,3,2,0,0,7,8,3,0,1,0,8,1,34,34
35,19870409,1987,4,9,0,PIT,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,0,0,0,2,26,25,0.0,0.0,6,7,4,1,0,0,7,3,4,1,0,0,2,4,32,29
36,19870410,1987,4,10,0,TOR,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,1,0,2,22,19,0.0,0.045454545454545456,2,6,0,1,0,0,6,7,1,2,0,0,0,3,28,28
37,19870410,1987,4,10,0,DET,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,2,0,4,1,30,28,0.07142857142857142,0.0,15,7,2,3,1,0,6,6,5,4,0,2,11,4,40,35
38,19870410,1987,4,10,0,BAL,CLE,AL,AL,CLE07,41.506091,-81.699404,593.0,2,1,2,1,29,34,0.058823529411764705,0.034482758620689655,13,12,3,6,1,0,12,9,9,5,1,1,12,11,43,44
39,19870410,1987,4,10,1,NYA,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,0,1,0,0,25,35,0.0,0.04,2,18,1,5,0,0,4,5,2,7,0,0,1,13,28,39
40,19870410,1987,4,10,1,CAL,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,1,2,1,3,27,21,0.047619047619047616,0.07407407407407407,8,5,2,0,0,0,7,9,8,4,0,0,6,4,35,33
41,19870410,1987,4,10,1,MIN,SEA,AL,AL,SEA02,47.595133000000004,-122.331639,17.0,2,0,3,0,29,30,0.06666666666666667,0.0,12,5,1,0,1,0,4,4,1,1,0,0,8,1,36,34
42,19870410,1987,4,10,1,MIL,TEX,AL,AL,ARL01,32.755974,-97.084778,552.0,1,4,2,1,38,30,0.03333333333333333,0.10526315789473684,16,10,3,2,0,0,3,4,2,6,0,1,11,8,43,34
43,19870410,1987,4,10,1,SDN,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,0,0,0,1,28,24,0.0,0.0,9,11,1,4,1,1,6,7,2,6,0,0,3,6,34,32
44,19870410,1987,4,10,1,MON,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,4,0,0,1,25,29,0.13793103448275862,0.0,6,10,2,1,0,0,7,4,6,1,0,0,1,6,32,34
45,19870410,1987,4,10,1,SFN,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,1,4,1,0,33,28,0.03571428571428571,0.12121212121212122,12,8,2,2,0,0,9,11,1,7,1,0,5,4,43,39
46,19870410,1987,4,10,1,ATL,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,1,0,0,3,21,23,0.043478260869565216,0.0,4,7,1,1,0,0,9,6,6,2,0,1,3,6,30,32
47,19870410,1987,4,10,1,CHN,PHI,NL,NL,PHI12,39.906537,-75.171495,18.0,0,1,1,3,22,24,0.0,0.045454545454545456,7,8,0,0,0,0,9,6,4,1,0,0,4,3,31,33
48,19870410,1987,4,10,1,SLN,PIT,NL,NL,PIT07,40.446533,-80.012614,730.0,1,0,1,2,30,25,0.04,0.0,10,9,2,2,0,0,4,7,2,7,1,0,3,4,35,34
49,19870411,1987,4,11,0,TOR,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,0,2,0,33,27,0.0,0.0,15,5,1,2,0,0,6,4,4,4,0,1,11,1,41,31
50,19870411,1987,4,11,1,DET,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,0,1,0,0,36,22,0.0,0.027777777777777776,11,5,2,2,2,0,3,10,5,4,0,0,7,1,38,32
51,19870411,1987,4,11,0,BAL,CLE,AL,AL,CLE07,41.506091,-81.699404,593.0,0,0,3,0,28,29,0.0,0.0,12,9,2,3,0,0,4,7,4,3,0,0,7,3,35,36
52,19870411,1987,4,11,0,NYA,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,0,0,0,1,39,25,0.0,0.0,17,5,6,2,0,0,4,4,7,4,0,1,15,2,43,30
53,19870411,1987,4,11,0,CAL,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,0,0,1,0,26,31,0.0,0.0,9,10,2,2,0,0,7,4,7,3,0,1,6,3,33,35
54,19870411,1987,4,11,1,MIN,SEA,AL,AL,SEA02,47.595133000000004,-122.331639,17.0,2,1,2,1,27,30,0.06666666666666667,0.037037037037037035,10,11,1,2,0,0,6,2,3,5,0,0,5,6,34,33
55,19870411,1987,4,11,1,MIL,TEX,AL,AL,ARL01,32.755974,-97.084778,552.0,0,2,1,2,32,29,0.0,0.0625,13,15,3,2,0,1,5,9,4,2,2,0,8,6,38,40
56,19870411,1987,4,11,0,SDN,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,0,1,0,2,22,29,0.0,0.045454545454545456,7,9,2,1,1,0,9,1,2,4,1,0,1,5,31,32
57,19870411,1987,4,11,1,MON,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,1,0,1,0,25,27,0.037037037037037035,0.0,8,8,3,3,0,0,7,6,1,0,0,0,2,3,32,32
58,19870411,1987,4,11,0,SFN,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,0,0,0,2,22,25,0.0,0.0,7,8,1,3,0,0,9,4,1,2,1,1,1,5,31,29
59,19870411,1987,4,11,0,ATL,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,0,2,0,1,27,29,0.0,0.07407407407407407,11,9,3,0,0,0,10,4,3,5,0,0,4,3,37,34
60,19870411,1987,4,11,1,CHN,PHI,NL,NL,PHI12,39.906537,-75.171495,18.0,0,3,1,1,31,24,0.0,0.0967741935483871,11,7,2,1,0,0,4,8,8,2,0,1,9,1,36,33
61,19870411,1987,4,11,0,SLN,PIT,NL,NL,PIT07,40.446533,-80.012614,730.0,3,0,4,0,23,31,0.0967741935483871,0.0,9,4,1,3,1,0,8,1,6,3,0,0,6,3,35,32
62,19870412,1987,4,12,0,TOR,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,0,0,3,31,24,0.0,0.0,7,8,4,1,0,1,3,5,5,5,0,0,3,8,32,32
63,19870412,1987,4,12,0,DET,CHA,AL,AL,CHI10,41.83201,-87.634025,594.0,0,0,1,0,36,26,0.0,0.0,13,6,2,3,1,0,1,7,8,3,0,0,7,1,38,33
64,19870412,1987,4,12,0,BAL,CLE,AL,AL,CLE07,41.506091,-81.699404,593.0,0,0,2,1,26,19,0.0,0.0,10,3,3,1,0,0,7,10,5,2,0,2,7,1,35,30
65,19870412,1987,4,12,0,NYA,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,1,0,0,0,32,33,0.030303030303030304,0.0,10,13,1,0,0,0,4,3,3,5,1,0,2,8,36,35
66,19870412,1987,4,12,0,CAL,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,1,0,0,1,25,23,0.043478260869565216,0.0,5,11,2,2,0,2,5,12,2,3,0,0,1,7,30,36
67,19870412,1987,4,12,0,MIN,SEA,AL,AL,SEA02,47.595133000000004,-122.331639,17.0,0,1,2,2,24,24,0.0,0.041666666666666664,11,9,3,1,1,0,12,8,1,3,1,0,8,5,38,34
68,19870412,1987,4,12,0,MIL,TEX,AL,AL,ARL01,32.755974,-97.084778,552.0,1,0,1,1,27,34,0.029411764705882353,0.0,8,12,1,0,0,1,10,11,12,5,0,2,7,5,38,46
69,19870412,1987,4,12,0,SDN,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,2,1,2,2,31,22,0.09090909090909091,0.03225806451612903,11,4,1,0,0,0,2,7,2,2,0,0,5,2,35,31
70,19870412,1987,4,12,0,MON,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,1,1,0,0,25,25,0.04,0.04,6,10,1,1,0,0,6,5,2,3,1,0,0,1,31,30
71,19870412,1987,4,12,0,SFN,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,0,2,0,1,32,32,0.0,0.0625,15,12,2,2,0,0,9,3,2,1,1,1,5,7,41,36
72,19870412,1987,4,12,0,ATL,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,0,2,2,2,37,32,0.0,0.05405405405405406,15,14,6,2,0,0,1,5,4,4,0,0,12,4,40,39
73,19870412,1987,4,12,0,CHN,PHI,NL,NL,PHI12,39.906537,-75.171495,18.0,0,0,3,0,34,33,0.0,0.0,15,18,3,2,0,1,6,12,5,6,0,0,8,9,43,44
74,19870412,1987,4,12,0,SLN,PIT,NL,NL,PIT07,40.446533,-80.012614,730.0,2,0,0,1,33,31,0.06451612903225806,0.0,13,12,4,2,0,1,4,3,5,3,0,1,4,7,37,35
75,19870413,1987,4,13,1,MIL,BAL,AL,AL,BAL11,39.330001,-76.601488,231.0,0,1,0,0,29,29,0.0,0.034482758620689655,8,9,3,0,0,0,5,6,4,3,0,2,6,3,31,35
76,19870413,1987,4,13,0,CLE,NYA,AL,AL,NYC16,40.826959,-73.927749,18.0,1,0,3,1,17,30,0.03333333333333333,0.0,3,15,0,3,0,0,10,7,2,5,1,0,3,11,30,37
77,19870413,1987,4,13,1,MIN,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,1,0,1,0,24,27,0.037037037037037035,0.0,6,10,2,1,0,0,7,5,5,7,0,2,3,6,32,32
78,19870413,1987,4,13,1,CAL,SEA,AL,AL,SEA02,47.595133000000004,-122.331639,17.0,1,0,1,1,29,32,0.03125,0.0,9,14,1,2,0,1,7,5,2,3,0,0,5,3,37,38
79,19870413,1987,4,13,0,CIN,ATL,NL,NL,ATL01,33.739457,-84.389486,979.0,0,0,0,1,34,23,0.0,0.0,14,7,5,0,0,1,6,4,2,3,0,0,7,2,38,28
80,19870413,1987,4,13,1,HOU,LAN,NL,NL,LOS03,34.073878,-118.239951,501.0,0,0,1,1,29,18,0.0,0.0,7,6,1,0,0,1,3,10,1,5,0,0,2,4,33,27
81,19870413,1987,4,13,1,CHN,PHI,NL,NL,PHI12,39.906537,-75.171495,18.0,0,1,2,0,21,16,0.0,0.047619047619047616,7,3,1,0,0,0,9,13,3,6,0,0,5,2,32,29
82,19870413,1987,4,13,0,SLN,PIT,NL,NL,PIT07,40.446533,-80.012614,730.0,2,0,2,0,26,25,0.08,0.0,10,6,1,2,1,0,7,8,4,4,0,0,8,4,35,33
83,19870413,1987,4,13,1,SFN,SDN,NL,NL,SAN01,32.783073,-117.11964499999999,83.0,0,1,4,3,30,26,0.0,0.03333333333333333,17,12,2,0,0,1,10,4,3,2,0,0,13,6,44,33
