,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,20090405,2009,4,5,1,ATL,PHI,NL,NL,PHI13,39.906109,-75.166485,19.0,0,0,3,0,22,25,0.0,0.0,8,4,2,2,0,0,10,6,1,1,0,0,4,1,35,31
1,20090406,2009,4,6,0,COL,ARI,NL,NL,PHO01,33.44542,-112.06679299999999,1059.0,0,0,3,5,26,23,0.0,0.0,10,12,3,3,0,0,6,7,3,3,0,2,8,9,35,34
2,20090406,2009,4,6,0,NYN,CIN,NL,NL,CIN09,39.097213,-84.506483,489.0,1,1,1,0,30,20,0.05,0.03333333333333333,9,3,1,1,0,0,3,9,7,5,0,0,2,1,34,28
3,20090406,2009,4,6,0,WAS,FLO,NL,NL,MIA01,25.957877,-80.238831,5.0,2,0,1,4,26,26,0.07692307692307693,0.0,9,12,3,4,0,0,9,6,0,4,0,1,6,12,36,36
4,20090406,2009,4,6,1,CHN,HOU,NL,NL,HOU03,29.757040999999997,-95.355429,20.0,0,0,2,0,29,25,0.0,0.0,9,8,1,0,0,0,4,6,2,4,0,1,4,2,34,30
5,20090406,2009,4,6,0,LAN,SDN,NL,NL,SAN02,32.70753,-117.15705600000001,14.0,0,1,1,0,22,25,0.0,0.045454545454545456,9,5,0,2,0,0,11,5,3,3,1,0,4,1,34,30
6,20090406,2009,4,6,0,PIT,SLN,NL,NL,STL10,38.622622,-90.192841,438.0,3,1,0,1,27,35,0.08571428571428572,0.037037037037037035,11,10,3,3,0,0,11,2,6,2,1,0,6,4,38,37
7,20090406,2009,4,6,1,OAK,ANA,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,1,0,1,26,26,0.0,0.038461538461538464,3,9,1,1,0,0,3,6,2,1,0,0,0,3,29,33
8,20090406,2009,4,6,0,NYA,BAL,AL,AL,BAL12,39.283944,-76.621572,35.0,0,0,2,1,29,31,0.0,0.0,11,14,2,3,1,1,4,2,6,8,3,0,5,10,34,33
9,20090406,2009,4,6,1,SEA,MIN,AL,AL,MIN03,44.973926,-93.258287,854.0,0,0,2,0,27,24,0.0,0.0,6,6,1,1,0,0,3,7,2,3,0,0,6,1,31,31
10,20090406,2009,4,6,0,CLE,TEX,AL,AL,ARL02,32.751164,-97.082546,549.0,0,0,0,2,23,30,0.0,0.0,5,15,0,4,0,0,7,7,1,1,0,1,1,9,30,39
11,20090406,2009,4,6,1,DET,TOR,AL,AL,TOR02,43.641256,-79.389054,268.0,2,0,2,2,29,29,0.06896551724137931,0.0,8,15,1,4,0,1,3,8,1,4,0,0,5,12,34,37
12,20090407,2009,4,7,1,COL,ARI,NL,NL,PHO01,33.44542,-112.06679299999999,1059.0,0,0,1,0,20,21,0.0,0.0,6,5,2,1,0,0,11,10,1,3,0,1,3,0,32,31
13,20090407,2009,4,7,1,WAS,FLO,NL,NL,MIA01,25.957877,-80.238831,5.0,1,0,1,2,27,23,0.043478260869565216,0.0,11,9,2,1,0,2,10,8,1,5,1,0,3,8,38,33
14,20090407,2009,4,7,1,CHN,HOU,NL,NL,HOU03,29.757040999999997,-95.355429,20.0,1,1,1,1,23,27,0.037037037037037035,0.043478260869565216,6,10,1,0,0,1,9,8,3,6,0,0,2,3,33,36
