,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,19710405,1971,4,5,0,OAK,WS2,AL,AL,WAS10,38.889765999999995,-76.971837,24.0,2,0,0,0,29,27,0.07407407407407407,0.0,6,8,2,1,0,0,2,5,3,7,1,2,0,8,31,30
1,19710405,1971,4,5,0,ATL,CIN,NL,NL,CIN08,39.096548,-84.50975600000001,489.0,0,6,0,1,36,31,0.0,0.16666666666666666,12,9,2,2,1,0,3,3,4,3,1,0,7,4,38,35
2,19710405,1971,4,5,1,LAN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,0,0,0,0,30,24,0.0,0.0,10,5,3,1,0,1,4,3,1,5,0,0,2,5,34,27
3,19710406,1971,4,6,0,NYA,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,1,0,0,27,26,0.0,0.037037037037037035,5,11,0,2,0,0,5,5,0,2,0,0,1,3,32,30
4,19710406,1971,4,6,1,KCA,CAL,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,1,0,0,29,30,0.0,0.034482758620689655,9,6,4,0,0,0,5,2,3,0,0,0,4,1,32,32
5,19710406,1971,4,6,0,CLE,DET,AL,AL,DET04,42.332541,-83.068732,601.0,0,1,0,0,24,26,0.0,0.041666666666666664,6,9,1,1,2,1,8,4,1,7,1,0,2,8,32,29
6,19710406,1971,4,6,0,MIL,MIN,AL,AL,MIN02,44.854783000000005,-93.242921,821.0,0,1,1,0,29,30,0.0,0.034482758620689655,12,9,2,2,0,0,7,5,7,3,0,0,7,2,37,34
7,19710406,1971,4,6,0,SLN,CHN,NL,NL,CHI11,41.948314,-87.655397,599.0,0,0,1,1,24,27,0.0,0.0,3,7,0,2,0,0,7,5,0,4,1,0,1,2,32,33
8,19710406,1971,4,6,1,LAN,HOU,NL,NL,HOU02,29.684812,-95.407775,52.0,0,0,1,0,30,27,0.0,0.0,6,4,0,0,0,0,0,1,0,4,0,0,2,0,31,28
9,19710406,1971,4,6,0,MON,NYN,NL,NL,NYC17,40.755753000000006,-73.847814,13.0,1,0,0,0,14,15,0.06666666666666667,0.0,4,7,0,2,0,0,4,4,4,3,0,0,2,4,18,19
10,19710406,1971,4,6,0,PHI,PIT,NL,NL,PIT07,40.446533,-80.012614,730.0,4,0,0,0,27,26,0.15384615384615385,0.0,8,7,0,1,1,0,8,4,2,4,1,0,2,4,35,29
