"","types","beta","se","ci2_5","ci97_5","n"
"1","all",0.0175040076283278,0.00223024722668293,0.013132803387409,0.0218752118692467,114417
"2","all_nodome",0.019613056916292,0.00222940742143512,0.0152434986634129,0.0239826151691712,98978
"3","all_dome",0.00235171824143961,0.0017980473221329,-0.00117238975243957,0.00587582623531879,11841
"4","day_nodome",0.0236253340020061,0.00416078589063839,0.0154703435089724,0.0317803244950397,33070
"5","night_nodome",0.0171210277798114,0.00133944090981545,0.0144957718371535,0.0197462837224692,65907
"6","day_dome",0.00329371094030103,0.00358288637832344,-0.00372861732191206,0.0103160392025141,3323
"7","night_dome",0.00193793982484073,0.00159890420940417,-0.00119585484032093,0.00507173449000239,8518
